Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],Long Name,Income Group,Region
Marshall Islands,MHL,CO2 emissions (kt),EN.ATM.CO2E.KT,102.676,102.676,102.676,..,..,..,Republic of the Marshall Islands,Upper middle income,East Asia & Pacific
"Macedonia, FYR",MKD,CO2 emissions (kt),EN.ATM.CO2E.KT,9387.52,8962.148,8294.754,..,..,..,Former Yugoslav Republic of Macedonia,Upper middle income,Europe & Central Asia
Mali,MLI,CO2 emissions (kt),EN.ATM.CO2E.KT,1045.095,993.757,1026.76,..,..,..,Republic of Mali,Low income,Sub-Saharan Africa
Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2519.229,2665.909,2218.535,..,..,..,Republic of Malta,High income,Middle East & North Africa
Myanmar,MMR,CO2 emissions (kt),EN.ATM.CO2E.KT,14297.633,12933.509,12603.479,..,..,..,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific
Montenegro,MNE,CO2 emissions (kt),EN.ATM.CO2E.KT,2570.567,2335.879,2247.871,..,..,..,Montenegro,Upper middle income,Europe & Central Asia
Mongolia,MNG,CO2 emissions (kt),EN.ATM.CO2E.KT,27583.174,32727.975,41591.114,..,..,..,Mongolia,Lower middle income,East Asia & Pacific
Northern Mariana Islands,MNP,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Commonwealth of the Northern Mariana Islands,High income,East Asia & Pacific
Mozambique,MOZ,CO2 emissions (kt),EN.ATM.CO2E.KT,3223.293,3120.617,4019.032,..,..,..,Republic of Mozambique,Low income,Sub-Saharan Africa
Mauritania,MRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2394.551,2654.908,2647.574,..,..,..,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa
Mauritius,MUS,CO2 emissions (kt),EN.ATM.CO2E.KT,3920.023,4070.37,3725.672,..,..,..,Republic of Mauritius,Upper middle income,Sub-Saharan Africa
Malawi,MWI,CO2 emissions (kt),EN.ATM.CO2E.KT,1188.108,1129.436,1272.449,..,..,..,Republic of Malawi,Low income,Sub-Saharan Africa
Malaysia,MYS,CO2 emissions (kt),EN.ATM.CO2E.KT,220405.035,218707.214,236510.499,..,..,..,Malaysia,Upper middle income,East Asia & Pacific
Namibia,NAM,CO2 emissions (kt),EN.ATM.CO2E.KT,2823.59,3373.64,2948.268,..,..,..,Republic of Namibia,Upper middle income,Sub-Saharan Africa
New Caledonia,NCL,CO2 emissions (kt),EN.ATM.CO2E.KT,3648.665,3630.33,3861.351,..,..,..,New Caledonia,High income,East Asia & Pacific
Niger,NER,CO2 emissions (kt),EN.ATM.CO2E.KT,1327.454,1866.503,1961.845,..,..,..,Republic of Niger,Low income,Sub-Saharan Africa
Nigeria,NGA,CO2 emissions (kt),EN.ATM.CO2E.KT,96093.735,99636.057,95650.028,..,..,..,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,4880.777,4675.425,4569.082,..,..,..,Republic of Nicaragua,Lower middle income,Latin America & Caribbean
Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,172400.338,169378.73,169972.784,..,..,..,Kingdom of the Netherlands,High income,Europe & Central Asia
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,45195.775,49889.535,59636.421,..,..,..,Kingdom of Norway,High income,Europe & Central Asia
Nepal,NPL,CO2 emissions (kt),EN.ATM.CO2E.KT,5533.503,5845.198,6501.591,..,..,..,Nepal,Low income,South Asia
Nauru,NRU,CO2 emissions (kt),EN.ATM.CO2E.KT,40.337,40.337,44.004,..,..,..,Republic of Nauru,High income,East Asia & Pacific
New Zealand,NZL,CO2 emissions (kt),EN.ATM.CO2E.KT,31503.197,34506.47,33960.087,..,..,..,New Zealand,High income,East Asia & Pacific
Oman,OMN,CO2 emissions (kt),EN.ATM.CO2E.KT,56215.11,59203.715,61183.895,..,..,..,Sultanate of Oman,High income,Middle East & North Africa
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,162008.06,163060.489,153368.608,..,..,..,Islamic Republic of Pakistan,Lower middle income,South Asia
Panama,PAN,CO2 emissions (kt),EN.ATM.CO2E.KT,10098.918,10084.25,10362.942,..,..,..,Republic of Panama,Upper middle income,Latin America & Caribbean
Peru,PER,CO2 emissions (kt),EN.ATM.CO2E.KT,49632.845,54520.956,57153.862,..,..,..,Republic of Peru,Upper middle income,Latin America & Caribbean
Philippines,PHL,CO2 emissions (kt),EN.ATM.CO2E.KT,85584.113,91319.301,98238.93,..,..,..,Republic of the Philippines,Lower middle income,East Asia & Pacific
Palau,PLW,CO2 emissions (kt),EN.ATM.CO2E.KT,223.687,223.687,223.687,..,..,..,Republic of Palau,Upper middle income,East Asia & Pacific
Papua New Guinea,PNG,CO2 emissions (kt),EN.ATM.CO2E.KT,5229.142,4979.786,6072.552,..,..,..,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific
Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,316997.482,299960.6,302333.149,..,..,..,Republic of Poland,High income,Europe & Central Asia
Puerto Rico,PRI,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Puerto Rico,High income,Latin America & Caribbean
"Korea, Dem. People’s Rep.",PRK,CO2 emissions (kt),EN.ATM.CO2E.KT,48133.042,49112.131,50091.22,..,..,..,Democratic People's Republic of Korea,Low income,East Asia & Pacific
Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,47623.329,46061.187,46262.872,..,..,..,Portuguese Republic,High income,Europe & Central Asia
Paraguay,PRY,CO2 emissions (kt),EN.ATM.CO2E.KT,5320.817,5207.14,4972.452,..,..,..,Republic of Paraguay,Upper middle income,Latin America & Caribbean
French Polynesia,PYF,CO2 emissions (kt),EN.ATM.CO2E.KT,832.409,814.074,821.408,..,..,..,French Polynesia,High income,East Asia & Pacific
Qatar,QAT,CO2 emissions (kt),EN.ATM.CO2E.KT,80435.645,94124.556,85023.062,..,..,..,State of Qatar,High income,Middle East & North Africa
Romania,ROM,CO2 emissions (kt),EN.ATM.CO2E.KT,84872.715,81722.762,70736.43,..,..,..,Romania,Upper middle income,Europe & Central Asia
Russian Federation,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1768073.386,1835608.525,1789074.295,..,..,..,Russian Federation,Upper middle income,Europe & Central Asia
